Sample,PM(2.5),HCHO,TVOC,TEMP,HUM,CO2
1,23,0.005,0.038,26,65,1505
3,22,0.005,0.038,26,64,1505
5,22,0.003,0.025,26,64,1503
7,22,0,0,26,64,1503
9,22,0.003,0.025,26,64,1503
11,22,0.001,0.012,25,64,1505
13,23,0.001,0.012,26,64,1505
15,22,0.001,0.012,26,64,1505
17,23,0.001,0.012,26,64,1506
19,22,0.001,0.012,26,64,1506
21,23,0.001,0.012,26,64,1507
23,22,0.001,0.012,26,64,1507
25,23,0.001,0.012,26,64,1511
27,22,0.001,0.012,26,64,1516
29,23,0.001,0.012,26,64,1516
31,22,0.001,0.012,26,64,1519
33,22,0.001,0.012,25,64,1520
35,22,0.001,0.012,26,64,1520
37,23,0.001,0.012,25,64,1519
39,22,0.001,0.012,26,63,1517
41,23,0.001,0.012,26,63,1517
43,23,0.001,0.012,26,63,1519
45,23,0.001,0.012,26,63,1519
47,23,0.001,0.012,26,63,1521
49,23,0.001,0.012,26,63,1519
51,24,0.001,0.012,26,63,1519
53,23,0.001,0.012,26,63,1513
55,22,0.001,0.012,26,63,1506
57,20,0.001,0.012,26,63,1506
59,19,0.001,0.012,26,63,1497
61,19,0.001,0.012,26,62,1497
63,20,0.001,0.012,26,62,1486
65,21,0.001,0.012,26,62,1479
67,21,0.001,0.012,26,62,1479
69,22,0.001,0.012,26,62,1475
71,23,0,0,26,62,1471
73,23,0,0,26,63,1471
75,23,0,0,26,63,1464
77,23,0,0,26,63,1454
79,23,0.001,0.012,26,63,1454
81,22,0,0,26,63,1450
83,22,0.001,0.012,26,63,1450
85,22,0.001,0.012,26,63,1448
87,22,0.001,0.012,25,62,1445
89,22,0.001,0.012,26,62,1445
91,22,0.001,0.012,26,62,1445
93,22,0,0,26,62,1446
95,22,0.001,0.012,26,62,1445
97,22,0.001,0.012,26,62,1445
99,21,0.001,0.012,26,62,1443
101,22,0.001,0.012,26,62,1443
103,21,0,0,26,62,1442
105,21,0.001,0.012,26,61,1442
107,21,0,0,26,61,1444
109,22,0.001,0.012,26,61,1444
111,22,0,0,25,63,1448
113,22,0,0,25,63,1448
115,22,0.001,0.012,25,63,1451
117,23,0,0,25,63,1457
119,24,0,0,25,63,1457
121,23,0,0,25,63,1462
123,24,0,0,25,63,1462
125,23,0.001,0.012,25,63,1468
127,23,0,0,25,63,1474
129,23,0,0,25,63,1480
131,23,0,0,25,63,1480
133,23,0,0,25,63,1485
135,24,0.001,0.004,25,63,1485
137,25,0,0,25,63,1488
139,24,0.001,0.006,25,63,1488
141,25,0,0,25,62,1488
143,24,0,0,25,62,1485
145,25,0,0,25,62,1485
147,24,0.001,0.001,25,62,1485
149,25,0.001,0.002,25,62,1482
151,24,0.001,0.008,25,62,1482
153,23,0,0,25,62,1481
155,24,0.001,0.007,25,62,1481
157,23,0.001,0.005,25,62,1481
159,24,0.001,0.003,25,62,1481
161,23,0.001,0.002,25,62,1481
163,23,0.001,0.002,25,62,1481
165,23,0.001,0.009,25,62,1481
167,23,0.001,0.009,25,62,1482
169,22,0.001,0.003,25,62,1482
171,22,0.001,0.002,25,62,1485
173,22,0.001,0.006,25,62,1485
175,21,0.001,0.001,25,62,1487
177,21,0.001,0,25,62,1485
179,21,0.001,0.012,25,62,1485
181,21,0.001,0.012,25,62,1484
183,21,0.001,0.012,25,62,1482
185,21,0.001,0.012,25,62,1482
187,21,0.001,0.012,25,61,1479
189,21,0.001,0.009,25,61,1479
191,21,0.001,0.009,25,61,1477
193,21,0.001,0.003,25,61,1476
195,22,0.001,0.004,25,61,1476
197,23,0.001,0.003,25,61,1474
199,22,0.001,0.005,25,61,1473
201,23,0.001,0.008,25,61,1473
203,22,0.001,0.003,25,61,1473
